"ID",Registrar Name,Status,RDAP Base URL
228,Moniker Online Services LLC,Accredited,https://rdap.rrpproxy.net/
230,"Centergate Research Group, LLC",Terminated,
232,Datasource Network Australia Limited,Terminated,
239,"7DC, Inc.",Terminated,
240,PlanetDomain Pty Ltd,Terminated,
241,Ranger Registration (Madeira) LLC,Terminated,
242,iRegisterDomainsHere.Com Inc.,Terminated,
244,"Gabia, Inc.",Accredited,https://rdap.gabiadns.com/v1/
245,"123 Registration, Inc.",Terminated,
246,"nondotcom, inc.",Terminated,
247,Active 24 AS,Terminated,
249,Mps Infotecnics Limited,Accredited,https://rdapserver.net/
250,"Echo, Inc.",Terminated,
255,Hi-Tech Information & Marketing Pvt. Ltd.,Terminated,
256,New Era Information Systems Incorporation d/b/a WebYourCompany.com,Terminated,
257,"GlobalHosting, Inc. d/b/a SiteRegister",Terminated,
258,"Marksonline, Inc.",Terminated,
268,"pAsia, Inc.",Terminated,
269,Key-Systems GmbH,Accredited,https://rdap.rrpproxy.net/
270,"Address Creation, LLC",Accredited,https://EIG.rdap.tucows.com/
274,American Domain Name Registry,Terminated,
275,"Alice's Registry, Inc.",Terminated,
276,"Globedom Datenkommunikations GmbH, d/b/a Globedom",Terminated,
277,"Interlink Co., Ltd.",Accredited,https://rdap.gonbei.jp/
278,"4Domains, Inc.",Terminated,
279,NameRepublic.com,Terminated,
281,"Research Institute for Computer Science, Inc.",Terminated,
282,"Central Registrar, Inc. DBA Domainmonger.com",Terminated,
291,"DNC Holdings, Inc.",Accredited,https://rdap.directnic.com/rdap/
292,MarkMonitor Inc.,Accredited,https://rdap.markmonitor.com/rdap/
293,Yellowiz Corp. d/b/a Yellowname.com,Terminated,
295,British Telecommunications (BT plc),Terminated,
298,"Netblue Communications Co., Ltd.",Terminated,
299,"CSC Corporate Domains, Inc.",Accredited,https://apis.cscglobal.com/dbs/rdap-api/v1/
300,"Wooho Technology CO., Ltd d/b/a RGNames.com",Terminated,
301,"000domains, LLC",Terminated,
303,PDR Ltd. d/b/a PublicDomainRegistry.com,Accredited,https://rdapserver.net/
304,freenet Cityline GmbH d/b/a freenet Datenkommunikations GmbH,Terminated,
317,"Philippine Registry.com, Inc.",Terminated,
320,TLDS L.L.C. d/b/a SRSPlus,Accredited,https://rdap.srsplus.com/rdap/
321,"Registration Technologies, Inc.",Accredited,
347,"NameTree, Inc.",Terminated,
353,Bombora Technologies Pty Ltd,Accredited,https://rdap.bomboraregistrar.com/rdap/
360,Abu-Ghazaleh Intellectual Property dba TAGIdomains.com,Accredited,https://tagidomains.com/rdap/
363,"Funpeas Media Ventures, LLC dba DomainProcessor.com",Terminated,https://www.domainprocessor.com/rdap/
364,Triara.com S.A. de C.V.,Terminated,
365,Reserved for historical use (EDUCAUSE),Reserved,
376,RESERVED-Internet Assigned Numbers Authority,Reserved,
377,"Venture.com, Inc. d/b/a DomainCity.com",Terminated,
378,2030138 Ontario Inc. dba NamesBeyond.com and dba GoodLuckDomain.com,Terminated,
379,"Arsys Internet, S.L. dba NICLINE.COM",Accredited,https://rdap.domainconnection.info/
380,Tuonome.it Srl d/b/a APIsrs.com,Accredited,https://rdap.tuonome.com/
381,DomReg Ltd. d/b/a LIBRIS.COM,Accredited,https://rdap.libris.com/
400,"@Com Technology, LLC",Terminated,
401,"Misk.com, Inc.",Accredited,https://rdap.misk.com/
402,Adgrafix Corporation,Terminated,
